년월일,가톨릭대학교 서울성모병원,강남자원회수시설,경희의료원,노원자원회수시설,대성산업주식회사,마포자원회수시설,삼성서울병원,서남바이오에너지㈜,서울대학교병원,서울물재생시설공단(구 서남물재생센터),서울시 중랑물재생센터,서울시탄천물재생센터,서울아산병원,서울에너지공사 (목동열병합발전소),서울에너지공사 동부지사(노원열병합발전소),서울에너지공사(마곡 집단에너지 공급시설),양천자원회수시설,연세의료원,은평환경플랜트,㈜더블유티씨서울,㈜호텔롯데(롯데월드),한국중부발전㈜서울발전본부,한국지역난방공사 강남지사(동남권CES),한국지역난방공사 중앙지사(상암),한국지역난방공사 중앙지사(상암2CES)
2019-01-01,76407,99855,12004,147816,0,232564,41552,151255,40218,35929,24213,33013,28369,153921,186471,83955,77997,47387,12210,133636,61094,141122,0,0,0
2019-01-02,83897,114950,15769,149551,48387,184790,45852,127466,38928,33207,24786,33043,39575,152697,182635,88693,84753,55148,10129,135220,61966,120526,0,0,0
2019-01-03,83877,113376,14520,156172,39529,206623,44533,138602,45205,44901,24746,34045,46821,159113,164472,84319,73730,78804,14860,127364,59489,105704,0,0,0
2019-01-04,77174,108716,13844,153836,46937,198925,42732,131045,37376,43276,14630,33086,44498,139843,160841,59839,79836,81562,10349,125834,43580,107811,0,0,0
2019-01-05,76070,125758,10001,156315,42973,204200,40946,125328,17252,45210,20516,32731,41195,155325,209506,41153,64721,78087,10375,124488,51405,109227,0,0,0
2019-01-06,68731,102272,9886,159365,0,225354,42496,146867,21010,38032,28366,36410,40308,159540,188499,41795,66827,77795,8786,130645,40511,103656,0,0,0
2019-01-07,74521,131815,12271,163622,33588,244987,40865,147717,21862,23773,28540,35375,45538,160553,135680,42786,69414,81218,6857,127157,40057,111579,0,0,0
2019-01-08,70899,123937,14170,159177,42765,214866,40634,154352,23484,49521,21775,36513,44411,162511,118948,47673,82344,63268,14245,121753,37953,110602,0,0,0
2019-01-09,81771,111219,15058,152862,40056,188369,42843,155787,19679,23704,27522,36806,44574,147006,137100,43299,81831,53757,16554,135029,58193,121484,0,0,0
2019-01-10,76494,100502,11826,160096,26178,254733,37969,153796,17421,23399,24986,34256,34783,149969,180432,44517,69783,48068,21492,118771,61035,111363,0,0,0
2019-01-11,70338,85510,9586,153551,28441,205693,33400,151789,20902,36062,28454,32790,30569,144249,225493,39218,73506,41292,16339,111310,44399,110931,0,0,0
2019-01-12,66981,100140,7649,149563,52456,188321,30738,136410,28717,35588,28494,30616,27632,121402,237668,37150,67282,34144,14716,107739,49381,44643,0,0,0
2019-01-13,63254,68827,2879,108723,0,97968,30700,81129,24750,40819,21283,31560,23758,106266,201712,41796,44283,31029,15197,106233,48463,139536,0,0,0
2019-01-14,65363,50849,8119,78781,18425,92132,31966,106821,23398,39701,20546,31819,30727,45290,170546,41032,47748,36108,12249,101885,49680,113490,0,0,0
2019-01-15,64058,83417,11017,109117,21961,103721,36228,73014,24543,54755,19862,34066,32064,42142,167729,46964,53508,37853,10543,114356,55005,122877,0,0,0
2019-01-16,75388,98557,13550,158528,45532,148947,40722,76663,21328,57996,6926,33566,40977,53490,168835,50799,89269,49200,18992,110423,64206,145493,0,0,0
2019-01-17,73515,120738,10360,143464,44699,153374,36657,79562,17154,54667,8125,30721,39758,50185,153315,39046,90710,46071,12575,123987,50305,84565,0,0,0
2019-01-18,70672,100093,11811,146310,25548,194501,35382,97640,16951,49980,18650,23139,38216,45728,147827,38925,73017,40867,17311,92938,52985,88851,0,0,0
2019-01-19,55808,114407,7847,134162,34872,163183,26132,157525,13775,39296,22630,31949,29270,52955,153437,34628,71452,27789,17553,99314,47967,91373,0,0,0
2019-01-20,65921,111628,7752,159480,0,167012,33384,169911,30832,16623,19401,32188,34167,68102,157933,38402,82287,30463,16045,104923,48548,88075,0,0,0
2019-01-21,77427,98653,13359,165099,42907,176514,36585,168514,49650,23329,21344,30861,40678,57806,169284,57388,75859,37664,20260,98251,52819,87597,0,0,0
2019-01-22,67530,84533,11587,122685,22780,152131,32820,173133,42683,22171,22838,30345,38314,59072,184366,41386,72369,34721,20407,90124,38537,91372,0,0,0
2019-01-23,66953,84546,9804,148177,24808,172675,30564,181539,39800,34744,27701,31191,35068,61394,147051,40299,70396,42144,19301,107748,43915,95776,0,0,0
2019-01-24,79284,113048,11807,148284,34629,146785,34357,183643,18974,35185,28300,32357,29845,89072,176328,39108,108371,43922,12763,111743,45296,103180,0,0,0
2019-01-25,74978,127853,10309,153937,38481,163833,37001,181373,18035,31035,29958,32080,29737,104126,175900,39730,76548,44700,16471,111247,53370,99989,0,0,0
2019-01-26,74781,79432,9748,163210,41737,173059,39897,188088,19093,38800,30772,31124,27387,53349,201530,39201,70587,44501,19259,116424,57277,91897,0,0,0
2019-01-27,71786,65125,6976,170893,0,151457,35283,185683,21979,30435,25893,31750,23693,46770,171614,40922,75021,36285,15330,113585,47283,94779,0,0,0
2019-01-28,70320,73611,10895,141432,35819,173225,33032,180424,18895,27773,24998,31013,31148,50459,175256,43370,85942,43160,18175,108316,45024,92647,0,0,0
2019-01-29,79938,86861,8513,156398,32027,175265,36705,178311,18845,40550,23909,32690,30919,59408,198632,37839,82510,61395,20366,119329,44928,92346,0,0,0
