년월일,강남자원회수시설,노원자원회수시설,마포자원회수시설,서울물재생시설공단(구 서남물재생센터)
2019-01-01,0,0,0,2745
2019-01-02,0,0,0,3842
2019-01-03,0,0,1,2762
2019-01-04,0,0,0,1887
2019-01-05,0,0,0,3250
2019-01-06,0,0,0,3127
2019-01-07,0,0,0,2883
2019-01-08,0,0,635,2560
2019-01-09,0,0,13,2574
2019-01-10,0,0,725,2972
2019-01-11,0,0,0,1554
2019-01-12,0,0,0,2212
2019-01-13,0,0,0,2767
2019-01-14,0,0,0,2879
2019-01-15,0,0,0,2235
2019-01-16,0,0,0,1975
2019-01-17,0,0,5,1151
2019-01-18,0,0,1347,994
2019-01-19,0,0,170,1379
2019-01-20,0,0,95,2307
2019-01-21,0,0,0,1308
2019-01-22,0,0,0,1003
2019-01-23,0,0,0,699
2019-01-24,0,0,0,2595
2019-01-25,0,0,0,1686
2019-01-26,0,0,0,2232
2019-01-27,0,0,0,1553
2019-01-28,0,0,0,3235
2019-01-29,0,0,0,1292
2019-01-30,0,0,0,1361
2019-01-31,0,0,0,1750
2019-02-01,0,0,0,3752
2019-02-02,0,0,0,2530
2019-02-03,0,0,0,3286
2019-02-04,0,0,0,4620
2019-02-05,0,0,0,3426
2019-02-06,0,0,0,3394
2019-02-07,0,0,0,3035
2019-02-08,0,0,91,2732
2019-02-09,0,0,0,6508
2019-02-10,0,0,0,2405
2019-02-11,0,0,0,3309
2019-02-12,0,0,0,3196
2019-02-13,0,0,0,3624
2019-02-14,0,0,0,3067
2019-02-15,0,0,0,2948
2019-02-16,0,0,0,4860
2019-02-17,0,0,0,7355
2019-02-18,0,0,0,4805
2019-02-19,0,0,0,6917
2019-02-20,0,0,0,4926
2019-02-21,0,0,0,4554
2019-02-22,0,0,0,3510
2019-02-23,0,0,0,3078
2019-02-24,0,0,0,5585
2019-02-25,0,0,0,4700
2019-02-26,0,0,658,1967
2019-02-27,0,0,0,1618
2019-02-28,0,0,0,2213
2019-03-01,0,0,0,1996
2019-03-02,0,0,0,1478
2019-03-03,0,0,0,1347
2019-03-04,0,0,0,1676
2019-03-05,0,0,0,1729
2019-03-06,0,0,0,1669
2019-03-07,0,0,0,1465
2019-03-08,0,0,0,2888
2019-03-09,0,0,0,3087
2019-03-10,0,0,0,2783
2019-03-11,0,0,0,3567
2019-03-12,0,0,0,3074
2019-03-13,0,0,0,3603
2019-03-14,0,0,0,2840
2019-03-15,0,0,0,2468
2019-03-16,0,0,0,1944
2019-03-17,0,0,0,2187
2019-03-18,0,0,0,2289
2019-03-19,0,0,0,1396
2019-03-20,0,0,0,2614
2019-03-21,0,0,0,2084
2019-03-22,0,0,0,4388
2019-03-23,0,0,0,4399
2019-03-24,0,0,0,4233
2019-03-25,0,0,0,2043
2019-03-26,0,0,0,1482
2019-03-27,0,0,0,568
2019-03-28,0,0,0,741
2019-03-29,0,0,0,1640
2019-03-30,0,0,0,2024
2019-03-31,0,0,0,2242
2019-04-01,0,0,0,2882
2019-04-02,0,0,0,3302
2019-04-03,0,0,0,1578
2019-04-04,0,0,0,1357
2019-04-05,0,0,0,1234
2019-04-06,0,0,0,303
2019-04-07,0,0,0,533
2019-04-08,0,0,0,1244
2019-04-09,0,0,0,1433
2019-04-10,0,0,0,2431
2019-04-11,0,0,0,1485
2019-04-12,0,0,0,4358
2019-04-13,0,0,0,1681
2019-04-14,0,0,0,1467
2019-04-15,0,0,8,1937
2019-04-16,0,0,0,2907
2019-04-17,0,0,0,1211
2019-04-18,0,0,0,544
2019-04-19,0,0,0,805
2019-04-20,0,0,0,2139
2019-04-21,0,0,0,1491
2019-04-22,0,0,0,733
2019-04-23,0,0,0,1047
2019-04-24,0,0,0,2968
2019-04-25,0,0,0,2315
2019-04-26,0,0,0,2344
2019-04-27,0,0,0,2117
2019-04-28,0,0,0,2016
2019-04-29,0,0,0,2126
2019-04-30,0,0,18473,1880
2019-05-01,0,0,0,1643
2019-05-02,0,0,0,2550
2019-05-03,0,0,0,1428
2019-05-04,0,0,5,1323
2019-05-05,0,0,0,1927
2019-05-06,0,0,0,2548
2019-05-07,0,0,0,2673
2019-05-08,0,0,0,3220
2019-05-09,0,0,0,3606
2019-05-10,0,0,0,1987
2019-05-11,0,0,0,2374
2019-05-12,0,0,0,1532
2019-05-13,0,0,0,749
2019-05-14,0,0,0,2313
2019-05-15,0,0,0,2437
2019-05-16,0,0,0,1723
2019-05-17,0,0,0,1343
2019-05-18,0,0,0,2288
2019-05-19,0,0,0,2857
2019-05-20,0,0,0,2809
2019-05-21,0,0,0,2138
2019-05-22,0,0,0,1982
2019-05-23,0,0,0,2606
2019-05-24,0,0,0,1639
2019-05-25,0,0,0,2035
2019-05-26,0,0,0,2513
2019-05-27,0,0,0,1282
2019-05-28,0,0,0,2298
2019-05-29,0,0,0,2273
2019-05-30,0,0,0,2333
2019-05-31,0,0,0,2599
2019-06-01,0,0,0,1628
2019-06-02,0,0,0,2256
2019-06-03,0,0,0,2203
2019-06-04,0,0,0,1942
2019-06-05,0,0,0,1696
2019-06-06,0,0,0,2048
2019-06-07,0,0,0,2304
2019-06-08,0,0,0,1777
2019-06-09,0,0,0,1335
2019-06-10,0,0,0,2316
2019-06-11,0,0,0,3076
2019-06-12,0,0,0,1724
2019-06-13,0,0,4,1209
2019-06-14,0,0,0,2021
2019-06-15,0,0,0,2504
2019-06-16,0,0,0,2003
2019-06-17,0,0,0,2
2019-06-18,0,0,0,0
2019-06-19,0,0,0,0
2019-06-20,0,0,0,0
2019-06-21,0,0,0,0
2019-06-22,0,0,0,0
2019-06-23,0,0,0,0
2019-06-24,0,0,0,0
2019-06-25,0,0,0,0
2019-06-26,0,0,0,0
2019-06-27,0,0,0,0
2019-06-28,0,0,0,0
2019-06-29,0,0,0,0
2019-06-30,0,0,0,0
2019-07-01,0,0,0,0
2019-07-02,0,0,0,0
2019-07-03,0,0,0,0
2019-07-04,0,0,0,0
2019-07-05,0,0,0,0
2019-07-06,0,0,0,0
2019-07-07,0,0,0,0
2019-07-08,0,0,0,0
2019-07-09,0,0,0,0
2019-07-10,0,0,0,0
2019-07-11,0,0,0,0
2019-07-12,0,0,0,0
2019-07-13,0,0,0,0
2019-07-14,0,0,0,0
2019-07-15,0,0,0,0
2019-07-16,0,0,0,0
2019-07-17,0,0,0,0
2019-07-18,0,0,0,0
2019-07-19,0,0,0,0
2019-07-20,0,0,0,0
2019-07-21,0,0,0,0
2019-07-22,0,0,0,0
2019-07-23,0,0,0,0
2019-07-24,0,0,0,8
2019-07-25,0,0,0,197
2019-07-26,0,0,0,2388
2019-07-27,0,0,1,2541
2019-07-28,0,0,0,2851
2019-07-29,0,0,35,2768
2019-07-30,0,0,238,2505
2019-07-31,0,0,0,1739
2019-08-01,0,0,0,1782
2019-08-02,0,0,0,2479
2019-08-03,0,0,0,2364
2019-08-04,0,0,0,2108
2019-08-05,0,0,0,2399
2019-08-06,0,0,0,3448
2019-08-07,0,0,0,1891
2019-08-08,0,0,53,3505
2019-08-09,0,0,155,2227
2019-08-10,0,0,0,178
2019-08-11,0,0,0,775
2019-08-12,0,0,37,2161
2019-08-13,0,0,0,2278
2019-08-14,0,0,0,2433
2019-08-15,0,0,0,2759
2019-08-16,0,0,0,2543
2019-08-17,0,0,0,4375
2019-08-18,0,0,0,3057
2019-08-19,0,0,0,1986
2019-08-20,0,0,0,2851
2019-08-21,0,0,0,2445
2019-08-22,0,0,0,2391
2019-08-23,0,0,0,1826
2019-08-24,0,0,0,3070
2019-08-25,0,0,0,3703
2019-08-26,0,0,0,2146
2019-08-27,0,0,0,1360
2019-08-28,0,0,0,1532
2019-08-29,0,0,0,3327
2019-08-30,0,0,0,2292
2019-08-31,0,0,0,1438
2019-09-01,0,0,0,2099
2019-09-02,0,0,0,2200
2019-09-03,0,0,0,3160
2019-09-04,0,0,0,2186
2019-09-05,0,0,0,1800
2019-09-06,0,0,0,589
2019-09-07,0,0,0,1571
2019-09-08,0,0,0,1393
2019-09-09,0,0,0,1720
2019-09-10,0,0,0,2135
2019-09-11,0,0,0,1825
2019-09-12,0,0,0,1412
2019-09-13,0,0,0,1568
2019-09-14,0,0,0,3376
2019-09-15,0,0,0,2351
2019-09-16,0,0,0,2263
2019-09-17,0,0,0,2745
2019-09-18,0,0,0,1632
2019-09-19,0,0,0,1994
2019-09-20,0,0,0,1609
2019-09-21,0,0,0,2172
2019-09-22,0,0,0,3288
2019-09-23,0,0,0,1525
2019-09-24,0,0,0,960
2019-09-25,0,0,0,501
2019-09-26,0,0,0,326
2019-09-27,0,0,0,1691
2019-09-28,0,0,0,1807
2019-09-29,0,0,0,990
2019-09-30,0,0,0,833
2019-10-01,0,0,0,1426
2019-10-02,0,0,0,619
2019-10-03,0,0,0,988
2019-10-04,0,0,0,214
2019-10-05,0,0,0,1193
2019-10-06,0,0,0,1775
2019-10-07,0,0,0,2312
2019-10-08,0,0,0,1889
2019-10-09,0,0,0,2401
2019-10-10,0,0,0,2260
2019-10-11,0,0,0,1934
2019-10-12,0,0,0,1743
2019-10-13,0,0,0,1898
2019-10-14,0,0,0,1936
2019-10-15,0,0,0,1787
2019-10-16,0,0,0,1610
2019-10-17,0,0,0,1434
2019-10-18,0,0,0,2444
2019-10-19,0,0,0,1890
2019-10-20,0,0,0,2094
2019-10-21,0,0,0,2412
2019-10-22,0,0,0,2006
2019-10-23,0,0,0,1938
2019-10-24,0,0,0,739
2019-10-25,0,0,0,1638
2019-10-26,0,0,0,2438
2019-10-27,0,0,0,1870
2019-10-28,0,0,0,2287
2019-10-29,0,0,0,2789
2019-10-30,0,0,0,2239
2019-10-31,0,0,0,1834
2019-11-01,0,0,0,2477
2019-11-02,0,0,0,1946
2019-11-03,0,0,0,83
2019-11-04,0,0,0,0
2019-11-05,0,0,0,0
2019-11-06,0,0,0,0
2019-11-07,0,0,13,0
2019-11-08,0,0,0,0
2019-11-09,0,0,0,0
2019-11-10,0,0,0,0
2019-11-11,0,0,0,0
2019-11-12,0,0,0,0
2019-11-13,0,0,0,0
2019-11-14,0,0,0,0
2019-11-15,0,0,0,0
2019-11-16,0,0,0,0
2019-11-17,0,0,0,0
2019-11-18,0,0,0,0
2019-11-19,0,0,4396,324
2019-11-20,0,0,0,2524
2019-11-21,0,0,0,718
2019-11-22,0,0,0,2353
2019-11-23,0,0,0,3193
2019-11-24,0,0,0,3701
2019-11-25,0,0,0,3208
2019-11-26,0,0,0,3245
2019-11-27,0,0,2449,2781
2019-11-28,0,0,0,3849
2019-11-29,0,0,49,3207
2019-11-30,0,0,80,4291
2019-12-01,0,0,0,3223
2019-12-02,0,0,0,2149
2019-12-03,0,0,0,2880
2019-12-04,0,0,0,3659
2019-12-05,0,0,0,3719
2019-12-06,0,0,0,3267
2019-12-07,0,0,0,882
2019-12-08,0,0,0,2719
2019-12-09,0,0,0,2721
2019-12-10,0,0,0,2109
2019-12-11,0,0,0,1680
2019-12-12,0,0,0,2642
2019-12-13,0,0,0,2155
2019-12-14,0,0,0,3078
2019-12-15,0,0,0,2565
2019-12-16,0,0,0,3542
2019-12-17,0,0,232,3681
2019-12-18,0,0,0,2498
2019-12-19,0,0,0,1646
2019-12-20,0,0,0,2217
2019-12-21,0,0,0,2359
2019-12-22,0,0,129,2999
2019-12-23,0,0,0,2839
2019-12-24,0,0,0,2666
